Mie-lt-Version               version012          
Magic-Number                 1472048328
Config-string                  1472048328          20          30 T T   263.16000000000003        3.2000000000000001E-002   1.0000000000000001E-005   2.9999999999999999E-002 maxwellgarnett      ice                 spheroidal               1.061570E+00    5.369427E+00    5.008625E+02    3.184713E+00    1.000000E-09    5.000000E-04  250
itype_refl                   5
luse_tmatrix                 T
ldo_nonsphere                T
itype_Dref_fmelt             -99
flag_qi_scal_eq              1
f_eq                         1.00000
if_eq                        1.00000
nqi      31
nTa      21
nTm      1
nparams  8
qi0        -9.00000E+00
Ta0         1.93150E+02
Tm0         2.73150E+02
dqi         1.89966E-01
dTa         3.50050E+00
dTm         0.00000E+00
idqi        5.26411E+00
idTa        2.85673E-01
idTm        0.00000E+00

q_i        -9.00000E+00  -8.81003E+00  -8.62007E+00  -8.43010E+00  -8.24014E+00  -8.05017E+00  -7.86021E+00  -7.67024E+00  -7.48027E+00  -7.29031E+00  -7.10034E+00  -6.91038E+00  -6.72041E+00  -6.53045E+00  -6.34048E+00  -6.15052E+00  -5.96055E+00  -5.77058E+00  -5.58062E+00  -5.39065E+00  -5.20069E+00  -5.01072E+00  -4.82076E+00  -4.63079E+00  -4.44082E+00  -4.25086E+00  -4.06089E+00  -3.87093E+00  -3.68096E+00  -3.49100E+00  -3.30103E+00

q_i_lin     1.00000E-09   1.54869E-09   2.39845E-09   3.71447E-09   5.75258E-09   8.90899E-09   1.37973E-08   2.13678E-08   3.30922E-08   5.12497E-08   7.93701E-08   1.22920E-07   1.90365E-07   2.94818E-07   4.56583E-07   7.07107E-07   1.09509E-06   1.69596E-06   2.62653E-06   4.06769E-06   6.29961E-06   9.75616E-06   1.51093E-05   2.33997E-05   3.62390E-05   5.61231E-05   8.69175E-05   1.34609E-04   2.08468E-04   3.22853E-04   5.00000E-04

T_a         1.93150E+02   1.96650E+02   2.00151E+02   2.03652E+02   2.07152E+02   2.10652E+02   2.14153E+02   2.17654E+02   2.21154E+02   2.24654E+02   2.28155E+02   2.31656E+02   2.35156E+02   2.38656E+02   2.42157E+02   2.45658E+02   2.49158E+02   2.52658E+02   2.56159E+02   2.59659E+02   2.63160E+02

T_m         2.73150E+02

zh          3.38950E-06   8.25008E-06   1.95543E-05   4.63030E-05   1.10332E-04   2.63587E-04   6.29593E-04   1.50281E-03   3.58496E-03   8.54644E-03   2.03583E-02   4.84464E-02   1.15140E-01   2.73201E-01   6.46883E-01   1.52753E+00   3.59432E+00   8.41850E+00   1.95973E+01   4.52486E+01   1.03325E+02   2.32372E+02   5.11586E+02   1.09306E+03   2.24007E+03   4.34155E+03   7.85402E+03   1.31906E+04   2.07991E+04   3.17630E+04   4.85967E+04
            3.39743E-06   8.26933E-06   1.95998E-05   4.64105E-05   1.10587E-04   2.64196E-04   6.31044E-04   1.50626E-03   3.59318E-03   8.56596E-03   2.04047E-02   4.85565E-02   1.15401E-01   2.73818E-01   6.48340E-01   1.53096E+00   3.60239E+00   8.43738E+00   1.96412E+01   4.53502E+01   1.03557E+02   2.32896E+02   5.12741E+02   1.09553E+03   2.24511E+03   4.35121E+03   7.87122E+03   1.32191E+04   2.08439E+04   3.18323E+04   4.87042E+04
            3.40536E-06   8.28860E-06   1.96454E-05   4.65181E-05   1.10843E-04   2.64805E-04   6.32495E-04   1.50971E-03   3.60139E-03   8.58549E-03   2.04511E-02   4.86665E-02   1.15662E-01   2.74436E-01   6.49799E-01   1.53440E+00   3.61046E+00   8.45627E+00   1.96852E+01   4.54517E+01   1.03789E+02   2.33419E+02   5.13896E+02   1.09800E+03   2.25014E+03   4.36088E+03   7.88843E+03   1.32476E+04   2.08887E+04   3.19016E+04   4.88117E+04
            3.41330E-06   8.30788E-06   1.96910E-05   4.66258E-05   1.11099E-04   2.65414E-04   6.33947E-04   1.51317E-03   3.60961E-03   8.60504E-03   2.04975E-02   4.87767E-02   1.15923E-01   2.75054E-01   6.51258E-01   1.53784E+00   3.61854E+00   8.47517E+00   1.97292E+01   4.55533E+01   1.04022E+02   2.33943E+02   5.15052E+02   1.10047E+03   2.25519E+03   4.37055E+03   7.90565E+03   1.32760E+04   2.09335E+04   3.19709E+04   4.89191E+04
            3.42124E-06   8.32718E-06   1.97366E-05   4.67336E-05   1.11355E-04   2.66024E-04   6.35400E-04   1.51663E-03   3.61784E-03   8.62459E-03   2.05439E-02   4.88869E-02   1.16184E-01   2.75672E-01   6.52718E-01   1.54128E+00   3.62662E+00   8.49407E+00   1.97732E+01   4.56550E+01   1.04254E+02   2.34467E+02   5.16208E+02   1.10294E+03   2.26023E+03   4.38022E+03   7.92287E+03   1.33045E+04   2.09782E+04   3.20403E+04   4.90264E+04
            3.42919E-06   8.34648E-06   1.97823E-05   4.68414E-05   1.11611E-04   2.66635E-04   6.36854E-04   1.52009E-03   3.62607E-03   8.64416E-03   2.05904E-02   4.89971E-02   1.16445E-01   2.76290E-01   6.54178E-01   1.54472E+00   3.63471E+00   8.51299E+00   1.98172E+01   4.57567E+01   1.04487E+02   2.34992E+02   5.17365E+02   1.10541E+03   2.26527E+03   4.38989E+03   7.94009E+03   1.33330E+04   2.10230E+04   3.21095E+04   4.91337E+04
            3.43715E-06   8.36580E-06   1.98280E-05   4.69492E-05   1.11867E-04   2.67246E-04   6.38308E-04   1.52355E-03   3.63430E-03   8.66373E-03   2.06369E-02   4.91075E-02   1.16707E-01   2.76909E-01   6.55640E-01   1.54816E+00   3.64279E+00   8.53192E+00   1.98612E+01   4.58585E+01   1.04720E+02   2.35516E+02   5.18522E+02   1.10789E+03   2.27032E+03   4.39957E+03   7.95731E+03   1.33615E+04   2.10678E+04   3.21788E+04   4.92410E+04
            3.44511E-06   8.38513E-06   1.98737E-05   4.70572E-05   1.12124E-04   2.67857E-04   6.39764E-04   1.52702E-03   3.64255E-03   8.68332E-03   2.06834E-02   4.92178E-02   1.16968E-01   2.77528E-01   6.57102E-01   1.55161E+00   3.65089E+00   8.55085E+00   1.99053E+01   4.59603E+01   1.04953E+02   2.36041E+02   5.19680E+02   1.11036E+03   2.27537E+03   4.40925E+03   7.97454E+03   1.33900E+04   2.11126E+04   3.22481E+04   4.93482E+04
            3.45307E-06   8.40448E-06   1.99194E-05   4.71652E-05   1.12381E-04   2.68468E-04   6.41220E-04   1.53048E-03   3.65079E-03   8.70291E-03   2.07299E-02   4.93283E-02   1.17230E-01   2.78147E-01   6.58565E-01   1.55505E+00   3.65898E+00   8.56979E+00   1.99494E+01   4.60622E+01   1.05186E+02   2.36566E+02   5.20839E+02   1.11284E+03   2.28042E+03   4.41894E+03   7.99177E+03   1.34185E+04   2.11574E+04   3.23173E+04   4.94553E+04
            3.46104E-06   8.42383E-06   1.99652E-05   4.72733E-05   1.12637E-04   2.69080E-04   6.42677E-04   1.53395E-03   3.65904E-03   8.72252E-03   2.07765E-02   4.94388E-02   1.17492E-01   2.78767E-01   6.60028E-01   1.55850E+00   3.66708E+00   8.58875E+00   1.99935E+01   4.61641E+01   1.05419E+02   2.37092E+02   5.21997E+02   1.11531E+03   2.28547E+03   4.42862E+03   8.00900E+03   1.34470E+04   2.12021E+04   3.23865E+04   4.95623E+04
            3.46901E-06   8.44320E-06   2.00110E-05   4.73814E-05   1.12894E-04   2.69692E-04   6.44136E-04   1.53742E-03   3.66729E-03   8.74214E-03   2.08231E-02   4.95493E-02   1.17754E-01   2.79387E-01   6.61492E-01   1.56195E+00   3.67519E+00   8.60771E+00   2.00376E+01   4.62660E+01   1.05652E+02   2.37617E+02   5.23157E+02   1.11779E+03   2.29053E+03   4.43831E+03   8.02624E+03   1.34755E+04   2.12469E+04   3.24556E+04   4.96692E+04
            3.47699E-06   8.46258E-06   2.00568E-05   4.74897E-05   1.13152E-04   2.70305E-04   6.45595E-04   1.54089E-03   3.67555E-03   8.76177E-03   2.08697E-02   4.96599E-02   1.18016E-01   2.80007E-01   6.62957E-01   1.56540E+00   3.68330E+00   8.62668E+00   2.00818E+01   4.63680E+01   1.05885E+02   2.38143E+02   5.24317E+02   1.12027E+03   2.29559E+03   4.44800E+03   8.04348E+03   1.35040E+04   2.12917E+04   3.25248E+04   4.97761E+04
            3.48498E-06   8.48198E-06   2.01026E-05   4.75979E-05   1.13409E-04   2.70918E-04   6.47054E-04   1.54437E-03   3.68382E-03   8.78141E-03   2.09164E-02   4.97706E-02   1.18278E-01   2.80628E-01   6.64423E-01   1.56886E+00   3.69141E+00   8.64566E+00   2.01259E+01   4.64701E+01   1.06118E+02   2.38669E+02   5.25477E+02   1.12275E+03   2.30064E+03   4.45770E+03   8.06072E+03   1.35325E+04   2.13364E+04   3.25938E+04   4.98828E+04
            3.49297E-06   8.50138E-06   2.01485E-05   4.77063E-05   1.13666E-04   2.71531E-04   6.48515E-04   1.54784E-03   3.69208E-03   8.80106E-03   2.09630E-02   4.98813E-02   1.18541E-01   2.81248E-01   6.65890E-01   1.57231E+00   3.69953E+00   8.66465E+00   2.01701E+01   4.65722E+01   1.06352E+02   2.39195E+02   5.26638E+02   1.12523E+03   2.30570E+03   4.46739E+03   8.07796E+03   1.35610E+04   2.13811E+04   3.26629E+04   4.99894E+04
            3.50096E-06   8.52080E-06   2.01944E-05   4.78147E-05   1.13924E-04   2.72145E-04   6.49977E-04   1.55132E-03   3.70036E-03   8.82073E-03   2.10097E-02   4.99921E-02   1.18803E-01   2.81870E-01   6.67357E-01   1.57577E+00   3.70765E+00   8.68364E+00   2.02143E+01   4.66743E+01   1.06586E+02   2.39722E+02   5.27800E+02   1.12771E+03   2.31076E+03   4.47709E+03   8.09520E+03   1.35894E+04   2.14258E+04   3.27319E+04   5.00959E+04
            3.50896E-06   8.54023E-06   2.02404E-05   4.79232E-05   1.14182E-04   2.72759E-04   6.51439E-04   1.55480E-03   3.70863E-03   8.84040E-03   2.10565E-02   5.01030E-02   1.19066E-01   2.82491E-01   6.68825E-01   1.57923E+00   3.71577E+00   8.70265E+00   2.02585E+01   4.67765E+01   1.06819E+02   2.40248E+02   5.28961E+02   1.13019E+03   2.31583E+03   4.48679E+03   8.11244E+03   1.36179E+04   2.14705E+04   3.28008E+04   5.02021E+04
            3.51697E-06   8.55967E-06   2.02863E-05   4.80317E-05   1.14440E-04   2.73373E-04   6.52902E-04   1.55829E-03   3.71692E-03   8.86008E-03   2.11032E-02   5.02139E-02   1.19329E-01   2.83113E-01   6.70293E-01   1.58269E+00   3.72390E+00   8.72166E+00   2.03028E+01   4.68787E+01   1.07053E+02   2.40775E+02   5.30124E+02   1.13267E+03   2.32089E+03   4.49649E+03   8.12968E+03   1.36464E+04   2.15151E+04   3.28696E+04   5.03082E+04
