Mie-lt-Version               version012          
Magic-Number                 1167132712
Config-string                  1167132712          20          30 T T   263.16000000000003        3.2000000000000001E-002   5.0000000000000002E-005  0.10000000000000001      maxwellgarnett      ice                 spheroidal               1.000000E+00    5.000006E+00    3.923292E+02    3.000003E+00    2.600000E-09    5.000000E-03  250
itype_refl                   5
luse_tmatrix                 T
ldo_nonsphere                T
itype_Dref_fmelt             -99
flag_qi_scal_eq              1
f_eq                         1.00000
if_eq                        1.00000
nqi      31
nTa      21
nTm      1
nparams  8
qi0        -8.58503E+00
Ta0         1.93150E+02
Tm0         2.73150E+02
dqi         2.09467E-01
dTa         3.50050E+00
dTm         0.00000E+00
idqi        4.77403E+00
idTa        2.85673E-01
idTm        0.00000E+00

q_i        -8.58503E+00  -8.37556E+00  -8.16609E+00  -7.95663E+00  -7.74716E+00  -7.53769E+00  -7.32823E+00  -7.11876E+00  -6.90929E+00  -6.69983E+00  -6.49036E+00  -6.28089E+00  -6.07143E+00  -5.86196E+00  -5.65249E+00  -5.44303E+00  -5.23356E+00  -5.02410E+00  -4.81463E+00  -4.60516E+00  -4.39570E+00  -4.18623E+00  -3.97676E+00  -3.76730E+00  -3.55783E+00  -3.34836E+00  -3.13890E+00  -2.92943E+00  -2.71996E+00  -2.51050E+00  -2.30103E+00

q_i_lin     2.60000E-09   4.21153E-09   6.82192E-09   1.10503E-08   1.78994E-08   2.89939E-08   4.69648E-08   7.60745E-08   1.23227E-07   1.99605E-07   3.23325E-07   5.23728E-07   8.48344E-07   1.37416E-06   2.22590E-06   3.60555E-06   5.84034E-06   9.46030E-06   1.53240E-05   2.48221E-05   4.02073E-05   6.51285E-05   1.05496E-04   1.70885E-04   2.76803E-04   4.48371E-04   7.26280E-04   1.17644E-03   1.90562E-03   3.08676E-03   5.00000E-03

T_a         1.93150E+02   1.96650E+02   2.00151E+02   2.03652E+02   2.07152E+02   2.10652E+02   2.14153E+02   2.17654E+02   2.21154E+02   2.24654E+02   2.28155E+02   2.31656E+02   2.35156E+02   2.38656E+02   2.42157E+02   2.45658E+02   2.49158E+02   2.52658E+02   2.56159E+02   2.59659E+02   2.63160E+02

T_m         2.73150E+02

zh          1.39488E-05   6.31040E-05   1.99423E-04   4.77851E-04   9.81537E-04   2.05438E-03   5.00014E-03   1.37950E-02   3.86273E-02   1.03719E-01   2.70387E-01   7.01862E-01   1.82647E+00   4.75071E+00   1.23195E+01   3.18008E+01   8.15453E+01   2.06996E+02   5.17002E+02   1.25737E+03   2.92892E+03   6.39289E+03   1.27938E+04   2.32342E+04   3.88227E+04   6.25074E+04   1.04205E+05   1.91493E+05   3.90313E+05   8.38565E+05   1.78296E+06
            1.39749E-05   6.32222E-05   1.99796E-04   4.78747E-04   9.83376E-04   2.05822E-03   5.00951E-03   1.38208E-02   3.86996E-02   1.03913E-01   2.70893E-01   7.03177E-01   1.82990E+00   4.75964E+00   1.23427E+01   3.18609E+01   8.17002E+01   2.07391E+02   5.17995E+02   1.25978E+03   2.93449E+03   6.40466E+03   1.28162E+04   2.32722E+04   3.88841E+04   6.26137E+04   1.04432E+05   1.92080E+05   3.91883E+05   8.42423E+05   1.79125E+06
            1.40011E-05   6.33404E-05   2.00170E-04   4.79642E-04   9.85214E-04   2.06207E-03   5.01887E-03   1.38466E-02   3.87719E-02   1.04108E-01   2.71399E-01   7.04491E-01   1.83332E+00   4.76856E+00   1.23659E+01   3.19210E+01   8.18550E+01   2.07787E+02   5.18987E+02   1.26220E+03   2.94005E+03   6.41643E+03   1.28385E+04   2.33102E+04   3.89455E+04   6.27201E+04   1.04659E+05   1.92669E+05   3.93459E+05   8.46294E+05   1.79956E+06
            1.40272E-05   6.34587E-05   2.00543E-04   4.80537E-04   9.87053E-04   2.06592E-03   5.02822E-03   1.38724E-02   3.88441E-02   1.04302E-01   2.71905E-01   7.05806E-01   1.83674E+00   4.77748E+00   1.23891E+01   3.19811E+01   8.20098E+01   2.08182E+02   5.19980E+02   1.26461E+03   2.94561E+03   6.42819E+03   1.28608E+04   2.33482E+04   3.90068E+04   6.28265E+04   1.04887E+05   1.93261E+05   3.95042E+05   8.50176E+05   1.80787E+06
            1.40533E-05   6.35768E-05   2.00917E-04   4.81432E-04   9.88891E-04   2.06976E-03   5.03758E-03   1.38982E-02   3.89164E-02   1.04496E-01   2.72411E-01   7.07119E-01   1.84017E+00   4.78639E+00   1.24122E+01   3.20411E+01   8.21646E+01   2.08577E+02   5.20972E+02   1.26703E+03   2.95117E+03   6.43994E+03   1.28830E+04   2.33861E+04   3.90681E+04   6.29330E+04   1.05116E+05   1.93855E+05   3.96631E+05   8.54071E+05   1.81620E+06
            1.40795E-05   6.36950E-05   2.01290E-04   4.82327E-04   9.90728E-04   2.07361E-03   5.04693E-03   1.39240E-02   3.89886E-02   1.04690E-01   2.72917E-01   7.08433E-01   1.84359E+00   4.79531E+00   1.24354E+01   3.21012E+01   8.23194E+01   2.08972E+02   5.21964E+02   1.26944E+03   2.95673E+03   6.45169E+03   1.29053E+04   2.34239E+04   3.91292E+04   6.30394E+04   1.05345E+05   1.94452E+05   3.98227E+05   8.57977E+05   1.82454E+06
            1.41056E-05   6.38132E-05   2.01664E-04   4.83221E-04   9.92566E-04   2.07745E-03   5.05629E-03   1.39498E-02   3.90609E-02   1.04884E-01   2.73423E-01   7.09747E-01   1.84701E+00   4.80422E+00   1.24586E+01   3.21612E+01   8.24742E+01   2.09367E+02   5.22956E+02   1.27185E+03   2.96228E+03   6.46343E+03   1.29275E+04   2.34618E+04   3.91904E+04   6.31459E+04   1.05575E+05   1.95051E+05   3.99829E+05   8.61893E+05   1.83288E+06
            1.41317E-05   6.39313E-05   2.02037E-04   4.84116E-04   9.94403E-04   2.08130E-03   5.06564E-03   1.39756E-02   3.91331E-02   1.05077E-01   2.73928E-01   7.11060E-01   1.85043E+00   4.81314E+00   1.24818E+01   3.22213E+01   8.26289E+01   2.09762E+02   5.23947E+02   1.27427E+03   2.96783E+03   6.47516E+03   1.29497E+04   2.34995E+04   3.92514E+04   6.32524E+04   1.05806E+05   1.95652E+05   4.01436E+05   8.65820E+05   1.84124E+06
            1.41578E-05   6.40494E-05   2.02410E-04   4.85010E-04   9.96239E-04   2.08514E-03   5.07499E-03   1.40014E-02   3.92053E-02   1.05271E-01   2.74434E-01   7.12373E-01   1.85385E+00   4.82205E+00   1.25049E+01   3.22813E+01   8.27836E+01   2.10157E+02   5.24939E+02   1.27668E+03   2.97338E+03   6.48688E+03   1.29719E+04   2.35372E+04   3.93124E+04   6.33590E+04   1.06037E+05   1.96255E+05   4.03049E+05   8.69757E+05   1.84960E+06
            1.41839E-05   6.41675E-05   2.02784E-04   4.85904E-04   9.98076E-04   2.08898E-03   5.08434E-03   1.40272E-02   3.92775E-02   1.05465E-01   2.74939E-01   7.13686E-01   1.85727E+00   4.83096E+00   1.25281E+01   3.23413E+01   8.29382E+01   2.10552E+02   5.25930E+02   1.27909E+03   2.97893E+03   6.49860E+03   1.29940E+04   2.35749E+04   3.93732E+04   6.34655E+04   1.06268E+05   1.96860E+05   4.04667E+05   8.73702E+05   1.85798E+06
            1.42100E-05   6.42856E-05   2.03157E-04   4.86798E-04   9.99912E-04   2.09282E-03   5.09368E-03   1.40530E-02   3.93496E-02   1.05659E-01   2.75445E-01   7.14998E-01   1.86069E+00   4.83987E+00   1.25513E+01   3.24013E+01   8.30929E+01   2.10947E+02   5.26921E+02   1.28150E+03   2.98448E+03   6.51030E+03   1.30162E+04   2.36125E+04   3.94341E+04   6.35720E+04   1.06500E+05   1.97467E+05   4.06291E+05   8.77656E+05   1.86635E+06
            1.42361E-05   6.44036E-05   2.03530E-04   4.87692E-04   1.00175E-03   2.09667E-03   5.10303E-03   1.40787E-02   3.94218E-02   1.05853E-01   2.75950E-01   7.16310E-01   1.86411E+00   4.84877E+00   1.25744E+01   3.24613E+01   8.32475E+01   2.11342E+02   5.27911E+02   1.28391E+03   2.99002E+03   6.52200E+03   1.30383E+04   2.36501E+04   3.94948E+04   6.36784E+04   1.06732E+05   1.98076E+05   4.07919E+05   8.81616E+05   1.87473E+06
            1.42622E-05   6.45216E-05   2.03903E-04   4.88586E-04   1.00358E-03   2.10051E-03   5.11237E-03   1.41045E-02   3.94939E-02   1.06046E-01   2.76455E-01   7.17622E-01   1.86753E+00   4.85768E+00   1.25976E+01   3.25213E+01   8.34021E+01   2.11736E+02   5.28902E+02   1.28632E+03   2.99556E+03   6.53369E+03   1.30603E+04   2.36876E+04   3.95554E+04   6.37848E+04   1.06965E+05   1.98687E+05   4.09551E+05   8.85582E+05   1.88311E+06
            1.42883E-05   6.46396E-05   2.04276E-04   4.89479E-04   1.00542E-03   2.10435E-03   5.12171E-03   1.41303E-02   3.95661E-02   1.06240E-01   2.76960E-01   7.18934E-01   1.87094E+00   4.86658E+00   1.26207E+01   3.25813E+01   8.35566E+01   2.12131E+02   5.29892E+02   1.28872E+03   3.00110E+03   6.54538E+03   1.30824E+04   2.37250E+04   3.96159E+04   6.38911E+04   1.07198E+05   1.99299E+05   4.11186E+05   8.89551E+05   1.89148E+06
