Mie-lt-Version               version012          
Magic-Number                 904393840
Config-string                   904393840          10          30 T T   273.16000000000003        3.2000000000000001E-002   5.0000000000000004E-006   1.0000000000000000E-002 maxwellgarnett      ice                 spheroidal               8.547000E-01    1.564103E+00    1.587830E+00    2.564103E+00    1.000000E-12    1.000000E-06  250
itype_refl                   5
luse_tmatrix                 T
ldo_nonsphere                T
itype_Dref_fmelt             -99
flag_qi_scal_eq              1
f_eq                         1.00000
if_eq                        1.00000
nqi      31
nTa      11
nTm      1
nparams  8
qi0        -1.20000E+01
Ta0         1.93150E+02
Tm0         2.73150E+02
dqi         2.00000E-01
dTa         8.00100E+00
dTm         0.00000E+00
idqi        5.00000E+00
idTa        1.24984E-01
idTm        0.00000E+00

q_i        -1.20000E+01  -1.18000E+01  -1.16000E+01  -1.14000E+01  -1.12000E+01  -1.10000E+01  -1.08000E+01  -1.06000E+01  -1.04000E+01  -1.02000E+01  -1.00000E+01  -9.80000E+00  -9.60000E+00  -9.40000E+00  -9.20000E+00  -9.00000E+00  -8.80000E+00  -8.60000E+00  -8.40000E+00  -8.20000E+00  -8.00000E+00  -7.80000E+00  -7.60000E+00  -7.40000E+00  -7.20000E+00  -7.00000E+00  -6.80000E+00  -6.60000E+00  -6.40000E+00  -6.20000E+00  -6.00000E+00

q_i_lin     1.00000E-12   1.58489E-12   2.51189E-12   3.98107E-12   6.30957E-12   1.00000E-11   1.58489E-11   2.51189E-11   3.98107E-11   6.30957E-11   1.00000E-10   1.58489E-10   2.51189E-10   3.98107E-10   6.30957E-10   1.00000E-09   1.58489E-09   2.51189E-09   3.98107E-09   6.30957E-09   1.00000E-08   1.58489E-08   2.51189E-08   3.98107E-08   6.30957E-08   1.00000E-07   1.58489E-07   2.51189E-07   3.98107E-07   6.30957E-07   1.00000E-06

T_a         1.93150E+02   2.01151E+02   2.09152E+02   2.17153E+02   2.25154E+02   2.33155E+02   2.41156E+02   2.49157E+02   2.57158E+02   2.65159E+02   2.73160E+02

T_m         2.73150E+02

zh          9.62636E-12   2.36444E-11   5.43998E-11   1.26639E-10   3.09183E-10   7.80069E-10   1.97908E-09   4.98755E-09   1.24903E-08   3.11902E-08   7.78373E-08   1.94287E-07   4.85131E-07   1.21174E-06   3.02726E-06   7.56329E-06   1.88934E-05   4.71774E-05   1.17715E-04   2.93350E-04   7.29633E-04   1.80954E-03   4.46881E-03   1.09686E-02   2.66841E-02   6.40501E-02   1.50415E-01   3.40530E-01   7.28143E-01   1.43979E+00   2.59100E+00
            9.67625E-12   2.37675E-11   5.46855E-11   1.27312E-10   3.10846E-10   7.84308E-10   1.98991E-09   5.01501E-09   1.25594E-08   3.13635E-08   7.82717E-08   1.95376E-07   4.87859E-07   1.21858E-06   3.04439E-06   7.60622E-06   1.90009E-05   4.74465E-05   1.18388E-04   2.95031E-04   7.33823E-04   1.81995E-03   4.49458E-03   1.10320E-02   2.68386E-02   6.44216E-02   1.51289E-01   3.42513E-01   7.32390E-01   1.44820E+00   2.60615E+00
            9.72618E-12   2.38908E-11   5.49715E-11   1.27986E-10   3.12512E-10   7.88552E-10   2.00076E-09   5.04251E-09   1.26286E-08   3.15372E-08   7.87069E-08   1.96466E-07   4.90592E-07   1.22543E-06   3.06156E-06   7.64923E-06   1.91086E-05   4.77162E-05   1.19062E-04   2.96716E-04   7.38022E-04   1.83039E-03   4.52040E-03   1.10955E-02   2.69934E-02   6.47940E-02   1.52166E-01   3.44500E-01   7.36647E-01   1.45662E+00   2.62134E+00
            9.77616E-12   2.40141E-11   5.52578E-11   1.28661E-10   3.14179E-10   7.92802E-10   2.01162E-09   5.07005E-09   1.26980E-08   3.17111E-08   7.91429E-08   1.97559E-07   4.93330E-07   1.23229E-06   3.07876E-06   7.69232E-06   1.92166E-05   4.79864E-05   1.19738E-04   2.98404E-04   7.42230E-04   1.84085E-03   4.54628E-03   1.11592E-02   2.71485E-02   6.51671E-02   1.53044E-01   3.46492E-01   7.40913E-01   1.46507E+00   2.63656E+00
            9.82618E-12   2.41376E-11   5.55444E-11   1.29336E-10   3.15849E-10   7.97057E-10   2.02250E-09   5.09763E-09   1.27674E-08   3.18853E-08   7.95795E-08   1.98653E-07   4.96073E-07   1.23917E-06   3.09598E-06   7.73549E-06   1.93247E-05   4.82572E-05   1.20415E-04   3.00095E-04   7.46446E-04   1.85133E-03   4.57222E-03   1.12230E-02   2.73040E-02   6.55411E-02   1.53924E-01   3.48488E-01   7.45189E-01   1.47354E+00   2.65182E+00
            9.87625E-12   2.42612E-11   5.58313E-11   1.30013E-10   3.17521E-10   8.01318E-10   2.03340E-09   5.12525E-09   1.28369E-08   3.20598E-08   8.00169E-08   1.99749E-07   4.98821E-07   1.24605E-06   3.11325E-06   7.77874E-06   1.94331E-05   4.85284E-05   1.21094E-04   3.01790E-04   7.50672E-04   1.86183E-03   4.59820E-03   1.12869E-02   2.74598E-02   6.59159E-02   1.54806E-01   3.50489E-01   7.49475E-01   1.48203E+00   2.66711E+00
            9.92636E-12   2.43849E-11   5.61184E-11   1.30689E-10   3.19195E-10   8.05585E-10   2.04430E-09   5.15292E-09   1.29066E-08   3.22346E-08   8.04550E-08   2.00848E-07   5.01573E-07   1.25295E-06   3.13054E-06   7.82208E-06   1.95416E-05   4.88003E-05   1.21774E-04   3.03489E-04   7.54905E-04   1.87235E-03   4.62425E-03   1.13509E-02   2.76160E-02   6.62916E-02   1.55690E-01   3.52494E-01   7.53770E-01   1.49053E+00   2.68243E+00
            9.97651E-12   2.45087E-11   5.64059E-11   1.31367E-10   3.20870E-10   8.09857E-10   2.05523E-09   5.18062E-09   1.29763E-08   3.24096E-08   8.08939E-08   2.01948E-07   5.04330E-07   1.25986E-06   3.14786E-06   7.86550E-06   1.96504E-05   4.90726E-05   1.22455E-04   3.05191E-04   7.59148E-04   1.88289E-03   4.65034E-03   1.14151E-02   2.77725E-02   6.66680E-02   1.56576E-01   3.54504E-01   7.58075E-01   1.49906E+00   2.69779E+00
            1.00267E-11   2.46326E-11   5.66936E-11   1.32045E-10   3.22548E-10   8.14134E-10   2.06617E-09   5.20836E-09   1.30462E-08   3.25849E-08   8.13334E-08   2.03049E-07   5.07092E-07   1.26679E-06   3.16522E-06   7.90900E-06   1.97594E-05   4.93455E-05   1.23138E-04   3.06896E-04   7.63399E-04   1.89346E-03   4.67650E-03   1.14795E-02   2.79293E-02   6.70453E-02   1.57464E-01   3.56518E-01   7.62390E-01   1.50760E+00   2.71319E+00
            1.00769E-11   2.47566E-11   5.69815E-11   1.32724E-10   3.24228E-10   8.18417E-10   2.07712E-09   5.23614E-09   1.31162E-08   3.27605E-08   8.17737E-08   2.04153E-07   5.09859E-07   1.27373E-06   3.18261E-06   7.95258E-06   1.98686E-05   4.96189E-05   1.23822E-04   3.08604E-04   7.67659E-04   1.90405E-03   4.70270E-03   1.15439E-02   2.80865E-02   6.74233E-02   1.58353E-01   3.58537E-01   7.66714E-01   1.51617E+00   2.72861E+00
            1.01272E-11   2.48806E-11   5.72694E-11   1.33403E-10   3.25907E-10   8.22701E-10   2.08807E-09   5.26393E-09   1.31861E-08   3.29362E-08   8.22141E-08   2.05257E-07   5.12627E-07   1.28067E-06   3.20001E-06   7.99619E-06   1.99778E-05   4.98925E-05   1.24506E-04   3.10314E-04   7.71922E-04   1.91465E-03   4.72893E-03   1.16084E-02   2.82438E-02   6.78018E-02   1.59244E-01   3.60557E-01   7.71042E-01   1.52474E+00   2.74406E+00
