Mie-lt-Version               version012          
Magic-Number                 1393872499
Config-string                  1393872499          20          30 T T   273.16000000000003        3.2000000000000001E-002   5.0000000000000002E-005   5.0000000000000003E-002 maxwellgarnett      air                 spheroidal          maxwellgarnett      air                 spheroidal               1.098901E+00    1.197802E+00    1.460061E-01    2.197802E+00    1.000000E-10    2.000000E-05  250
itype_refl                   5
luse_tmatrix                 T
ldo_nonsphere                T
itype_Dref_fmelt             -99
flag_qi_scal_eq              1
f_eq                         1.00000
if_eq                        1.00000
nqi      31
nTa      21
nTm      1
nparams  8
qi0        -1.00000E+01
Ta0         1.93150E+02
Tm0         2.73150E+02
dqi         1.76701E-01
dTa         4.00050E+00
dTm         0.00000E+00
idqi        5.65928E+00
idTa        2.49969E-01
idTm        0.00000E+00

q_i        -1.00000E+01  -9.82330E+00  -9.64660E+00  -9.46990E+00  -9.29320E+00  -9.11650E+00  -8.93979E+00  -8.76309E+00  -8.58639E+00  -8.40969E+00  -8.23299E+00  -8.05629E+00  -7.87959E+00  -7.70289E+00  -7.52619E+00  -7.34948E+00  -7.17278E+00  -6.99608E+00  -6.81938E+00  -6.64268E+00  -6.46598E+00  -6.28928E+00  -6.11258E+00  -5.93588E+00  -5.75918E+00  -5.58248E+00  -5.40577E+00  -5.22907E+00  -5.05237E+00  -4.87567E+00  -4.69897E+00

q_i_lin     1.00000E-10   1.50211E-10   2.25633E-10   3.38925E-10   5.09101E-10   7.64725E-10   1.14870E-09   1.72547E-09   2.59184E-09   3.89322E-09   5.84804E-09   8.78438E-09   1.31951E-08   1.98204E-08   2.97724E-08   4.47214E-08   6.71763E-08   1.00906E-07   1.51572E-07   2.27677E-07   3.41995E-07   5.13714E-07   7.71653E-07   1.15911E-06   1.74110E-06   2.61532E-06   3.92849E-06   5.90102E-06   8.86396E-06   1.33146E-05   2.00000E-05

T_a         1.93150E+02   1.97150E+02   2.01151E+02   2.05152E+02   2.09152E+02   2.13152E+02   2.17153E+02   2.21154E+02   2.25154E+02   2.29154E+02   2.33155E+02   2.37156E+02   2.41156E+02   2.45156E+02   2.49157E+02   2.53158E+02   2.57158E+02   2.61159E+02   2.65159E+02   2.69159E+02   2.73160E+02

T_m         2.73150E+02

zh          2.19655E-08   8.80510E-08   2.74917E-07   6.82620E-07   1.46776E-06   3.02729E-06   6.47038E-06   1.44807E-05   3.29709E-05   7.49376E-05   1.69494E-04   3.82078E-04   8.59106E-04   1.92626E-03   4.30269E-03   9.55996E-03   2.10818E-02   4.59984E-02   9.88751E-02   2.08154E-01   4.25857E-01   8.38402E-01   1.56990E+00   2.76080E+00   4.50665E+00   6.77545E+00   9.37919E+00   1.20823E+01   1.48172E+01   1.78270E+01   2.15402E+01
            2.20148E-08   8.82501E-08   2.75540E-07   6.84169E-07   1.47110E-06   3.03420E-06   6.48522E-06   1.45141E-05   3.30471E-05   7.51115E-05   1.69889E-04   3.82969E-04   8.61113E-04   1.93077E-03   4.31278E-03   9.58241E-03   2.11313E-02   4.61067E-02   9.91081E-02   2.08645E-01   4.26862E-01   8.40382E-01   1.57362E+00   2.76733E+00   4.51731E+00   6.79148E+00   9.40139E+00   1.21109E+01   1.48523E+01   1.78692E+01   2.15912E+01
            2.20640E-08   8.84493E-08   2.76163E-07   6.85719E-07   1.47444E-06   3.04111E-06   6.50007E-06   1.45475E-05   3.31234E-05   7.52854E-05   1.70283E-04   3.83860E-04   8.63121E-04   1.93528E-03   4.32287E-03   9.60486E-03   2.11809E-02   4.62150E-02   9.93411E-02   2.09136E-01   4.27868E-01   8.42364E-01   1.57733E+00   2.77386E+00   4.52798E+00   6.80752E+00   9.42360E+00   1.21395E+01   1.48874E+01   1.79115E+01   2.16422E+01
            2.21132E-08   8.86484E-08   2.76786E-07   6.87268E-07   1.47778E-06   3.04803E-06   6.51492E-06   1.45808E-05   3.31997E-05   7.54594E-05   1.70678E-04   3.84752E-04   8.65129E-04   1.93979E-03   4.33296E-03   9.62731E-03   2.12305E-02   4.63233E-02   9.95742E-02   2.09627E-01   4.28873E-01   8.44345E-01   1.58104E+00   2.78039E+00   4.53865E+00   6.82356E+00   9.44581E+00   1.21681E+01   1.49225E+01   1.79537E+01   2.16933E+01
            2.21624E-08   8.88476E-08   2.77410E-07   6.88818E-07   1.48112E-06   3.05494E-06   6.52977E-06   1.46142E-05   3.32761E-05   7.56333E-05   1.71072E-04   3.85643E-04   8.67137E-04   1.94430E-03   4.34305E-03   9.64977E-03   2.12801E-02   4.64316E-02   9.98073E-02   2.10119E-01   4.29879E-01   8.46327E-01   1.58476E+00   2.78693E+00   4.54932E+00   6.83961E+00   9.46803E+00   1.21967E+01   1.49576E+01   1.79960E+01   2.17443E+01
            2.22116E-08   8.90467E-08   2.78033E-07   6.90368E-07   1.48446E-06   3.06186E-06   6.54462E-06   1.46476E-05   3.33524E-05   7.58074E-05   1.71467E-04   3.86535E-04   8.69146E-04   1.94882E-03   4.35315E-03   9.67224E-03   2.13297E-02   4.65400E-02   1.00040E-01   2.10610E-01   4.30886E-01   8.48310E-01   1.58847E+00   2.79347E+00   4.55999E+00   6.85566E+00   9.49025E+00   1.22254E+01   1.49927E+01   1.80382E+01   2.17954E+01
            2.22609E-08   8.92459E-08   2.78656E-07   6.91918E-07   1.48780E-06   3.06877E-06   6.55948E-06   1.46810E-05   3.34287E-05   7.59814E-05   1.71861E-04   3.87426E-04   8.71155E-04   1.95333E-03   4.36325E-03   9.69471E-03   2.13793E-02   4.66484E-02   1.00274E-01   2.11101E-01   4.31892E-01   8.50293E-01   1.59219E+00   2.80000E+00   4.57067E+00   6.87171E+00   9.51248E+00   1.22540E+01   1.50278E+01   1.80805E+01   2.18465E+01
            2.23101E-08   8.94451E-08   2.79280E-07   6.93468E-07   1.49114E-06   3.07569E-06   6.57433E-06   1.47144E-05   3.35051E-05   7.61555E-05   1.72256E-04   3.88318E-04   8.73165E-04   1.95784E-03   4.37335E-03   9.71718E-03   2.14289E-02   4.67568E-02   1.00507E-01   2.11593E-01   4.32899E-01   8.52277E-01   1.59590E+00   2.80654E+00   4.58135E+00   6.88777E+00   9.53471E+00   1.22827E+01   1.50630E+01   1.81228E+01   2.18976E+01
            2.23593E-08   8.96443E-08   2.79903E-07   6.95018E-07   1.49448E-06   3.08261E-06   6.58919E-06   1.47478E-05   3.35814E-05   7.63296E-05   1.72651E-04   3.89211E-04   8.75175E-04   1.96236E-03   4.38345E-03   9.73966E-03   2.14786E-02   4.68653E-02   1.00740E-01   2.12085E-01   4.33906E-01   8.54261E-01   1.59962E+00   2.81309E+00   4.59203E+00   6.90384E+00   9.55695E+00   1.23113E+01   1.50981E+01   1.81651E+01   2.19487E+01
            2.24085E-08   8.98435E-08   2.80526E-07   6.96568E-07   1.49782E-06   3.08953E-06   6.60405E-06   1.47813E-05   3.36578E-05   7.65037E-05   1.73046E-04   3.90103E-04   8.77186E-04   1.96688E-03   4.39356E-03   9.76215E-03   2.15282E-02   4.69737E-02   1.00974E-01   2.12577E-01   4.34913E-01   8.56246E-01   1.60334E+00   2.81963E+00   4.60271E+00   6.91990E+00   9.57919E+00   1.23400E+01   1.51333E+01   1.82074E+01   2.19998E+01
            2.24578E-08   9.00427E-08   2.81150E-07   6.98119E-07   1.50116E-06   3.09644E-06   6.61891E-06   1.48147E-05   3.37342E-05   7.66778E-05   1.73441E-04   3.90995E-04   8.79197E-04   1.97139E-03   4.40366E-03   9.78464E-03   2.15779E-02   4.70822E-02   1.01207E-01   2.13069E-01   4.35921E-01   8.58231E-01   1.60706E+00   2.82617E+00   4.61340E+00   6.93597E+00   9.60144E+00   1.23686E+01   1.51684E+01   1.82497E+01   2.20510E+01
