Mie-lt-Version               version012          
Magic-Number                 622339219
Config-string                   622339219          20          30           6 T T           1   273.16000000000003        0.0000000000000000        3.2000000000000001E-002   5.0000000000000004E-006   1.0000000000000000E-002 maxwellgarnett      water               spheroidal          air                 icewater            spheroidal               8.547000E-01    1.564103E+00    1.587830E+00    2.564103E+00    1.000000E-12    1.000000E-06  250
itype_refl                   5
luse_tmatrix                 T
ldo_nonsphere                T
itype_Dref_fmelt             1
flag_qi_scal_eq              1
f_eq                         1.00000
if_eq                        1.00000
nqi      31
nTa      21
nTm      7
nparams  8
qi0        -1.20000E+01
Ta0         2.73160E+02
Tm0         2.75160E+02
dqi         2.00000E-01
dTa         2.50000E-01
dTm         5.00000E-01
idqi        5.00000E+00
idTa        4.00000E+00
idTm        2.00000E+00

q_i        -1.20000E+01  -1.18000E+01  -1.16000E+01  -1.14000E+01  -1.12000E+01  -1.10000E+01  -1.08000E+01  -1.06000E+01  -1.04000E+01  -1.02000E+01  -1.00000E+01  -9.80000E+00  -9.60000E+00  -9.40000E+00  -9.20000E+00  -9.00000E+00  -8.80000E+00  -8.60000E+00  -8.40000E+00  -8.20000E+00  -8.00000E+00  -7.80000E+00  -7.60000E+00  -7.40000E+00  -7.20000E+00  -7.00000E+00  -6.80000E+00  -6.60000E+00  -6.40000E+00  -6.20000E+00  -6.00000E+00

q_i_lin     1.00000E-12   1.58489E-12   2.51189E-12   3.98107E-12   6.30957E-12   1.00000E-11   1.58489E-11   2.51189E-11   3.98107E-11   6.30957E-11   1.00000E-10   1.58489E-10   2.51189E-10   3.98107E-10   6.30957E-10   1.00000E-09   1.58489E-09   2.51189E-09   3.98107E-09   6.30957E-09   1.00000E-08   1.58489E-08   2.51189E-08   3.98107E-08   6.30957E-08   1.00000E-07   1.58489E-07   2.51189E-07   3.98107E-07   6.30957E-07   1.00000E-06

T_a         2.73160E+02   2.73410E+02   2.73660E+02   2.73910E+02   2.74160E+02   2.74410E+02   2.74660E+02   2.74910E+02   2.75160E+02   2.75410E+02   2.75660E+02   2.75910E+02   2.76160E+02   2.76410E+02   2.76660E+02   2.76910E+02   2.77160E+02   2.77410E+02   2.77660E+02   2.77910E+02   2.78160E+02

T_m         2.75160E+02   2.75660E+02   2.76160E+02   2.76660E+02   2.77160E+02   2.77660E+02   2.78160E+02

zh          1.05609E-11   2.60166E-11   5.99869E-11   1.39795E-10   3.41450E-10   8.61924E-10   2.18855E-09   5.52073E-09   1.38383E-08   3.45848E-08   8.63719E-08   2.15733E-07   5.39007E-07   1.34707E-06   3.36711E-06   8.41651E-06   2.10346E-05   5.25478E-05   1.31172E-04   3.26553E-04   8.09016E-04   1.99921E-03   4.92111E-03   1.20433E-02   2.92214E-02   6.99781E-02   1.64011E-01   3.70704E-01   7.91655E-01   1.56389E+00   2.81240E+00
            2.38675E-11   6.06515E-11   1.42443E-10   3.33894E-10   8.17258E-10   2.07862E-09   5.35340E-09   1.37470E-08   3.51175E-08   8.94494E-08   2.27587E-07   5.78739E-07   1.47088E-06   3.73574E-06   9.48049E-06   2.40383E-05   6.08915E-05   1.54078E-04   3.89378E-04   9.59769E-04   2.24486E-03   5.23975E-03   1.21998E-02   2.83034E-02   6.52986E-02   1.49256E-01   3.35530E-01   7.31857E-01   1.51870E+00   2.93495E+00   5.19303E+00
            3.45053E-11   8.65680E-11   2.01436E-10   4.71561E-10   1.16124E-09   2.98003E-09   7.75525E-09   2.01960E-08   5.25974E-08   1.37521E-07   3.59329E-07   9.37986E-07   2.44557E-06   6.36728E-06   1.65514E-05   4.29503E-05   1.11237E-04   2.87512E-04   7.41545E-04   1.86157E-03   4.39486E-03   1.02740E-02   2.38082E-02   5.47094E-02   1.24586E-01   2.80494E-01   6.20647E-01   1.33350E+00   2.73113E+00   5.22246E+00   9.16585E+00
            3.86249E-11   9.49584E-11   2.17900E-10   5.06714E-10   1.24797E-09   3.21434E-09   8.42095E-09   2.21331E-08   5.82759E-08   1.54075E-07   4.10127E-07   1.09347E-06   2.91853E-06   7.80204E-06   2.08194E-05   5.54400E-05   1.47316E-04   3.90564E-04   1.03273E-03   2.68209E-03   6.63589E-03   1.60877E-02   3.83048E-02   8.97238E-02   2.06909E-01   4.69296E-01   1.04214E+00   2.24151E+00   4.58946E+00   8.76850E+00   1.53750E+01
            3.76958E-11   9.10870E-11   2.06904E-10   4.80016E-10   1.17953E-09   3.01673E-09   7.82751E-09   2.03122E-08   5.27181E-08   1.39935E-07   3.73398E-07   1.00354E-06   2.70671E-06   7.36201E-06   2.00183E-05   5.44542E-05   1.48126E-04   4.02331E-04   1.09067E-03   2.96457E-03   7.94869E-03   2.06290E-02   5.19701E-02   1.27437E-01   3.04770E-01   7.11126E-01   1.61361E+00   3.52675E+00   7.30493E+00   1.40708E+01   2.48130E+01
            3.39497E-11   8.09972E-11   1.82591E-10   4.22129E-10   1.03307E-09   2.62130E-09   6.71678E-09   1.71626E-08   4.38170E-08   1.12925E-07   2.93969E-07   7.70449E-07   2.05190E-06   5.49777E-06   1.48610E-05   4.04380E-05   1.10497E-04   3.03004E-04   8.32399E-04   2.37595E-03   7.16543E-03   2.07227E-02   5.74238E-02   1.52772E-01   3.91237E-01   9.65906E-01   2.29405E+00   5.19664E+00   1.10591E+01   2.17282E+01   3.88638E+01
            2.87808E-11   6.80384E-11   1.54687E-10   3.63502E-10   8.87328E-10   2.22244E-09   5.63945E-09   1.41992E-08   3.59258E-08   9.05484E-08   2.28465E-07   5.79555E-07   1.47453E-06   3.77264E-06   9.70877E-06   2.51321E-05   6.55567E-05   1.72194E-04   4.55231E-04   1.28366E-03   4.21601E-03   1.39271E-02   4.46770E-02   1.36737E-01   3.96932E-01   1.09154E+00   2.83595E+00   6.90319E+00   1.55238E+01   3.17677E+01   5.85142E+01
            2.62412E-11   6.39169E-11   1.45389E-10   3.32390E-10   8.02146E-10   2.01229E-09   5.10292E-09   1.29123E-08   3.25155E-08   8.17030E-08   2.05167E-07   5.15186E-07   1.29361E-06   3.24815E-06   8.15610E-06   2.04811E-05   5.14338E-05   1.29177E-04   3.24478E-04   8.18745E-04   2.13229E-03   5.93244E-03   1.82773E-02   6.16485E-02   2.14740E-01   7.27094E-01   2.29670E+00   6.58837E+00   1.68411E+01   3.79079E+01   7.48224E+01
            2.61670E-11   6.37654E-11   1.44779E-10   3.31659E-10   7.99326E-10   2.00456E-09   5.08605E-09   1.28669E-08   3.24057E-08   8.14311E-08   2.04485E-07   5.13421E-07   1.28906E-06   3.23630E-06   8.12446E-06   2.03939E-05   5.11866E-05   1.28456E-04   3.22312E-04   8.08555E-04   2.02781E-03   5.08390E-03   1.27403E-02   3.19107E-02   7.98615E-02   1.99341E-01   4.92621E-01   1.18400E+00   2.69359E+00   5.64184E+00   1.06683E+01
            2.61662E-11   6.37634E-11   1.44775E-10   3.31649E-10   7.99302E-10   2.00450E-09   5.08589E-09   1.28665E-08   3.24047E-08   8.14285E-08   2.04478E-07   5.13403E-07   1.28901E-06   3.23617E-06   8.12411E-06   2.03929E-05   5.11839E-05   1.28448E-04   3.22288E-04   8.08481E-04   2.02758E-03   5.08315E-03   1.27379E-02   3.19023E-02   7.98327E-02   1.99242E-01   4.92290E-01   1.18298E+00   2.69077E+00   5.63504E+00   1.06542E+01
            2.61654E-11   6.37615E-11   1.44770E-10   3.31639E-10   7.99277E-10   2.00444E-09   5.08573E-09   1.28660E-08   3.24036E-08   8.14258E-08   2.04471E-07   5.13385E-07   1.28896E-06   3.23604E-06   8.12376E-06   2.03919E-05   5.11811E-05   1.28440E-04   3.22264E-04   8.08408E-04   2.02735E-03   5.08240E-03   1.27354E-02   3.18940E-02   7.98039E-02   1.99143E-01   4.91959E-01   1.18195E+00   2.68794E+00   5.62822E+00   1.06399E+01
            2.61645E-11   6.37594E-11   1.44766E-10   3.31628E-10   7.99251E-10   2.00437E-09   5.08556E-09   1.28656E-08   3.24025E-08   8.14230E-08   2.04464E-07   5.13366E-07   1.28891E-06   3.23591E-06   8.12340E-06   2.03910E-05   5.11783E-05   1.28431E-04   3.22240E-04   8.08334E-04   2.02711E-03   5.08166E-03   1.27329E-02   3.18856E-02   7.97752E-02   1.99043E-01   4.91627E-01   1.18093E+00   2.68509E+00   5.62137E+00   1.06256E+01
            2.61637E-11   6.37574E-11   1.44761E-10   3.31618E-10   7.99225E-10   2.00430E-09   5.08539E-09   1.28652E-08   3.24014E-08   8.14202E-08   2.04456E-07   5.13347E-07   1.28886E-06   3.23578E-06   8.12304E-06   2.03900E-05   5.11755E-05   1.28423E-04   3.22216E-04   8.08260E-04   2.02688E-03   5.08091E-03   1.27305E-02   3.18773E-02   7.97464E-02   1.98944E-01   4.91295E-01   1.17990E+00   2.68224E+00   5.61448E+00   1.06113E+01
            2.61628E-11   6.37553E-11   1.44756E-10   3.31607E-10   7.99198E-10   2.00424E-09   5.08522E-09   1.28647E-08   3.24003E-08   8.14173E-08   2.04449E-07   5.13328E-07   1.28881E-06   3.23564E-06   8.12268E-06   2.03890E-05   5.11726E-05   1.28415E-04   3.22192E-04   8.08186E-04   2.02665E-03   5.08016E-03   1.27280E-02   3.18690E-02   7.97177E-02   1.98845E-01   4.90963E-01   1.17886E+00   2.67938E+00   5.60758E+00   1.05968E+01
            2.61620E-11   6.37531E-11   1.44751E-10   3.31595E-10   7.99171E-10   2.00417E-09   5.08504E-09   1.28643E-08   3.23992E-08   8.14143E-08   2.04441E-07   5.13308E-07   1.28876E-06   3.23551E-06   8.12231E-06   2.03879E-05   5.11698E-05   1.28407E-04   3.22167E-04   8.08111E-04   2.02642E-03   5.07942E-03   1.27255E-02   3.18606E-02   7.96890E-02   1.98746E-01   4.90630E-01   1.17783E+00   2.67651E+00   5.60064E+00   1.05823E+01
            2.61610E-11   6.37509E-11   1.44746E-10   3.31584E-10   7.99143E-10   2.00410E-09   5.08486E-09   1.28638E-08   3.23980E-08   8.14113E-08   2.04434E-07   5.13288E-07   1.28871E-06   3.23537E-06   8.12193E-06   2.03869E-05   5.11669E-05   1.28398E-04   3.22142E-04   8.08036E-04   2.02618E-03   5.07867E-03   1.27231E-02   3.18523E-02   7.96603E-02   1.98647E-01   4.90297E-01   1.17680E+00   2.67364E+00   5.59368E+00   1.05677E+01
            2.61601E-11   6.37487E-11   1.44741E-10   3.31572E-10   7.99114E-10   2.00403E-09   5.08468E-09   1.28634E-08   3.23968E-08   8.14083E-08   2.04426E-07   5.13268E-07   1.28865E-06   3.23522E-06   8.12155E-06   2.03858E-05   5.11639E-05   1.28390E-04   3.22118E-04   8.07961E-04   2.02595E-03   5.07792E-03   1.27206E-02   3.18440E-02   7.96317E-02   1.98547E-01   4.89965E-01   1.17576E+00   2.67075E+00   5.58670E+00   1.05531E+01
            2.61592E-11   6.37464E-11   1.44736E-10   3.31560E-10   7.99086E-10   2.00395E-09   5.08449E-09   1.28629E-08   3.23956E-08   8.14051E-08   2.04418E-07   5.13247E-07   1.28860E-06   3.23508E-06   8.12116E-06   2.03848E-05   5.11610E-05   1.28382E-04   3.22093E-04   8.07886E-04   2.02571E-03   5.07717E-03   1.27181E-02   3.18357E-02   7.96031E-02   1.98448E-01   4.89632E-01   1.17472E+00   2.66786E+00   5.57969E+00   1.05384E+01
            2.61582E-11   6.37440E-11   1.44730E-10   3.31548E-10   7.99056E-10   2.00388E-09   5.08430E-09   1.28624E-08   3.23943E-08   8.14020E-08   2.04410E-07   5.13226E-07   1.28854E-06   3.23493E-06   8.12077E-06   2.03837E-05   5.11580E-05   1.28373E-04   3.22068E-04   8.07810E-04   2.02548E-03   5.07642E-03   1.27157E-02   3.18274E-02   7.95746E-02   1.98350E-01   4.89299E-01   1.17368E+00   2.66497E+00   5.57267E+00   1.05237E+01
