Mie-lt-Version               version012          
Magic-Number                 899857410
Config-string                   899857410          10          40 T T   3.2000000000000001E-002   5.0000000000000002E-005   1.0000000000000000E-002      1.000000E+00    2.000003E+00    5.244907E+02    3.000003E+00    2.600000E-10    3.000000E-06  250
itype_refl                   5
luse_tmatrix                 T
ldo_nonsphere                T
itype_Dref_fmelt             -99
flag_qi_scal_eq              1
f_eq                         1.00000
if_eq                        1.00000
nqi      41
nTa      11
nTm      1
nparams  8
qi0        -9.58503E+00
Ta0         2.73150E+02
Tm0         0.00000E+00
dqi         1.01554E-01
dTa         3.00000E+00
dTm         0.00000E+00
idqi        9.84701E+00
idTa        3.33333E-01
idTm        0.00000E+00

q_i        -9.58503E+00  -9.48347E+00  -9.38192E+00  -9.28037E+00  -9.17881E+00  -9.07726E+00  -8.97570E+00  -8.87415E+00  -8.77260E+00  -8.67104E+00  -8.56949E+00  -8.46794E+00  -8.36638E+00  -8.26483E+00  -8.16327E+00  -8.06172E+00  -7.96017E+00  -7.85861E+00  -7.75706E+00  -7.65551E+00  -7.55395E+00  -7.45240E+00  -7.35085E+00  -7.24929E+00  -7.14774E+00  -7.04618E+00  -6.94463E+00  -6.84308E+00  -6.74152E+00  -6.63997E+00  -6.53842E+00  -6.43686E+00  -6.33531E+00  -6.23375E+00  -6.13220E+00  -6.03065E+00  -5.92909E+00  -5.82754E+00  -5.72599E+00  -5.62443E+00  -5.52288E+00

q_i_lin     2.60000E-10   3.28494E-10   4.15031E-10   5.24366E-10   6.62503E-10   8.37032E-10   1.05754E-09   1.33613E-09   1.68812E-09   2.13283E-09   2.69470E-09   3.40458E-09   4.30148E-09   5.43465E-09   6.86634E-09   8.67519E-09   1.09606E-08   1.38480E-08   1.74960E-08   2.21052E-08   2.79285E-08   3.52859E-08   4.45815E-08   5.63259E-08   7.11643E-08   8.99116E-08   1.13598E-07   1.43524E-07   1.81333E-07   2.29103E-07   2.89457E-07   3.65711E-07   4.62053E-07   5.83775E-07   7.37563E-07   9.31865E-07   1.17735E-06   1.48751E-06   1.87938E-06   2.37447E-06   3.00000E-06

T_a         2.73150E+02   2.76150E+02   2.79150E+02   2.82150E+02   2.85150E+02   2.88150E+02   2.91150E+02   2.94150E+02   2.97150E+02   3.00150E+02   3.03150E+02

T_m         0.00000E+00

zh          1.37275E-06   2.19259E-06   3.50158E-06   5.59091E-06   8.92514E-06   1.42455E-05   2.27348E-05   3.62802E-05   5.78922E-05   9.23738E-05   1.47387E-04   2.35154E-04   3.75168E-04   5.98520E-04   9.54795E-04   1.52306E-03   2.42938E-03   3.87476E-03   6.17960E-03   9.85462E-03   1.57138E-02   2.50546E-02   3.99453E-02   6.36846E-02   1.01540E-01   1.61939E-01   2.58419E-01   4.12862E-01   6.60980E-01   1.06185E+00   1.71487E+00   2.79029E+00   4.58482E+00   7.62171E+00   1.28287E+01   2.18463E+01   3.75471E+01   6.48816E+01   1.12211E+02   1.93326E+02   3.30377E+02
            1.37217E-06   2.19164E-06   3.50001E-06   5.58828E-06   8.92074E-06   1.42381E-05   2.27223E-05   3.62588E-05   5.78556E-05   9.23108E-05   1.47278E-04   2.34963E-04   3.74831E-04   5.97925E-04   9.53733E-04   1.52115E-03   2.42594E-03   3.86851E-03   6.16817E-03   9.83360E-03   1.56750E-02   2.49824E-02   3.98103E-02   6.34314E-02   1.01064E-01   1.61045E-01   2.56748E-01   4.09774E-01   6.55388E-01   1.05204E+00   1.69846E+00   2.76476E+00   4.54942E+00   7.58237E+00   1.28082E+01   2.19031E+01   3.78051E+01   6.55735E+01   1.13732E+02   1.96293E+02   3.35676E+02
            1.37146E-06   2.19048E-06   3.49810E-06   5.58513E-06   8.91552E-06   1.42295E-05   2.27078E-05   3.62344E-05   5.78143E-05   9.22406E-05   1.47157E-04   2.34755E-04   3.74471E-04   5.97294E-04   9.52622E-04   1.51918E-03   2.42242E-03   3.86216E-03   6.15666E-03   9.81258E-03   1.56363E-02   2.49107E-02   3.96766E-02   6.31806E-02   1.00591E-01   1.60153E-01   2.55071E-01   4.06651E-01   6.49680E-01   1.04193E+00   1.68137E+00   2.73787E+00   4.51154E+00   7.53895E+00   1.27817E+01   2.19515E+01   3.80520E+01   6.62499E+01   1.15228E+02   1.99206E+02   3.40856E+02
            1.37064E-06   2.18914E-06   3.49591E-06   5.58155E-06   8.90963E-06   1.42197E-05   2.26917E-05   3.62076E-05   5.77694E-05   9.21648E-05   1.47029E-04   2.34536E-04   3.74095E-04   5.96644E-04   9.51488E-04   1.51719E-03   2.41889E-03   3.85587E-03   6.14533E-03   9.79201E-03   1.55986E-02   2.48411E-02   3.95471E-02   6.29375E-02   1.00132E-01   1.59283E-01   2.53424E-01   4.03556E-01   6.43971E-01   1.03171E+00   1.66393E+00   2.71010E+00   4.47189E+00   7.49238E+00   1.27502E+01   2.19929E+01   3.82896E+01   6.69133E+01   1.16701E+02   2.02076E+02   3.45938E+02
            1.36972E-06   2.18765E-06   3.49350E-06   5.57761E-06   8.90320E-06   1.42092E-05   2.26743E-05   3.61788E-05   5.77216E-05   9.20851E-05   1.46895E-04   2.34310E-04   3.73710E-04   5.95984E-04   9.50351E-04   1.51521E-03   2.41542E-03   3.84973E-03   6.13436E-03   9.77224E-03   1.55626E-02   2.47749E-02   3.94241E-02   6.27067E-02   9.96954E-02   1.58451E-01   2.51838E-01   4.00552E-01   6.38371E-01   1.02158E+00   1.64644E+00   2.68196E+00   4.43121E+00   7.44372E+00   1.27151E+01   2.20290E+01   3.85201E+01   6.75674E+01   1.18160E+02   2.04917E+02   3.50953E+02
            1.36873E-06   2.18604E-06   3.49089E-06   5.57338E-06   8.89631E-06   1.41979E-05   2.26559E-05   3.61486E-05   5.76717E-05   9.20025E-05   1.46758E-04   2.34079E-04   3.73321E-04   5.95325E-04   9.49223E-04   1.51327E-03   2.41204E-03   3.84381E-03   6.12389E-03   9.75349E-03   1.55287E-02   2.47129E-02   3.93092E-02   6.24915E-02   9.92873E-02   1.57671E-01   2.50340E-01   3.97688E-01   6.32978E-01   1.01172E+00   1.62923E+00   2.65395E+00   4.39028E+00   7.39410E+00   1.26781E+01   2.20621E+01   3.87469E+01   6.82173E+01   1.19614E+02   2.07745E+02   3.55933E+02
            1.36766E-06   2.18433E-06   3.48812E-06   5.56890E-06   8.88905E-06   1.41861E-05   2.26367E-05   3.61172E-05   5.76203E-05   9.19177E-05   1.46617E-04   2.33846E-04   3.72932E-04   5.94670E-04   9.48114E-04   1.51138E-03   2.40879E-03   3.83815E-03   6.11397E-03   9.73591E-03   1.54972E-02   2.46556E-02   3.92035E-02   6.22938E-02   9.89125E-02   1.56952E-01   2.48950E-01   3.95008E-01   6.27875E-01   1.00228E+00   1.61256E+00   2.62655E+00   4.34985E+00   7.34466E+00   1.26408E+01   2.20946E+01   3.89733E+01   6.88685E+01   1.21072E+02   2.10580E+02   3.60916E+02
            1.36654E-06   2.18252E-06   3.48521E-06   5.56421E-06   8.88147E-06   1.41739E-05   2.26168E-05   3.60848E-05   5.75675E-05   9.18314E-05   1.46476E-04   2.33612E-04   3.72544E-04   5.94023E-04   9.47029E-04   1.50954E-03   2.40566E-03   3.83278E-03   6.10464E-03   9.71954E-03   1.54680E-02   2.46030E-02   3.91073E-02   6.21146E-02   9.85732E-02   1.56299E-01   2.47682E-01   3.92539E-01   6.23126E-01   9.93387E-01   1.59668E+00   2.60017E+00   4.31063E+00   7.29649E+00   1.26048E+01   2.21287E+01   3.92030E+01   6.95270E+01   1.22545E+02   2.13442E+02   3.65939E+02
            1.36537E-06   2.18064E-06   3.48218E-06   5.55934E-06   8.87362E-06   1.41612E-05   2.25963E-05   3.60517E-05   5.75137E-05   9.17438E-05   1.46333E-04   2.33378E-04   3.72159E-04   5.93386E-04   9.45969E-04   1.50777E-03   2.40267E-03   3.82769E-03   6.09590E-03   9.70435E-03   1.54413E-02   2.45553E-02   3.90207E-02   6.19542E-02   9.82701E-02   1.55716E-01   2.46543E-01   3.90303E-01   6.18774E-01   9.85142E-01   1.58179E+00   2.57519E+00   4.27323E+00   7.25057E+00   1.25715E+01   2.21667E+01   3.94394E+01   7.01986E+01   1.24044E+02   2.16351E+02   3.71041E+02
            1.36415E-06   2.17869E-06   3.47905E-06   5.55431E-06   8.86553E-06   1.41482E-05   2.25754E-05   3.60179E-05   5.74590E-05   9.16552E-05   1.46189E-04   2.33144E-04   3.71776E-04   5.92757E-04   9.44932E-04   1.50605E-03   2.39980E-03   3.82287E-03   6.08771E-03   9.69029E-03   1.54169E-02   2.45122E-02   3.89431E-02   6.18117E-02   9.80024E-02   1.55201E-01   2.45534E-01   3.88306E-01   6.14847E-01   9.77612E-01   1.56803E+00   2.55189E+00   4.23816E+00   7.20775E+00   1.25424E+01   2.22107E+01   3.96856E+01   7.08885E+01   1.25577E+02   2.19325E+02   3.76255E+02
            1.36290E-06   2.17668E-06   3.47583E-06   5.54913E-06   8.85723E-06   1.41349E-05   2.25540E-05   3.59834E-05   5.74036E-05   9.15658E-05   1.46044E-04   2.32910E-04   3.71395E-04   5.92137E-04   9.43918E-04   1.50438E-03   2.39705E-03   3.81828E-03   6.08001E-03   9.67725E-03   1.53945E-02   2.44732E-02   3.88739E-02   6.16862E-02   9.77683E-02   1.54752E-01   2.44652E-01   3.86549E-01   6.11354E-01   9.70831E-01   1.55549E+00   2.53046E+00   4.20581E+00   7.16869E+00   1.25185E+01   2.22623E+01   3.99444E+01   7.16013E+01   1.27155E+02   2.22379E+02   3.81613E+02
